server_id,datid,relid,s_from,s_to,t_from,t_to,dt_sec,relname,schemaname,d_total,d_delay,d_blk_read_t,d_blk_write_t,d_blks_read,d_blks_hit,d_blks_dirty,d_blks_written,d_wal_records,d_wal_fpi,d_wal_bytes,d_tuples_deleted,d_pages_scanned,d_pages_removed,d_recent_dead,d_tuples_frozen,d_vm_visible,d_vm_frozen,d_vm_visible_frozen,d_idx_passes,d_failsafe,d_missed_pages,d_missed_tuples
1,24797,26363,2,3,2026-04-26 01:43:50+03,2026-04-26 01:44:35+03,45.000000,pgbench_accounts,public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,24797,26367,2,3,2026-04-26 01:43:50+03,2026-04-26 01:44:35+03,45.000000,pgbench_branches,public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,24797,26356,2,3,2026-04-26 01:43:50+03,2026-04-26 01:44:35+03,45.000000,pgbench_history,public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,24797,26359,2,3,2026-04-26 01:43:50+03,2026-04-26 01:44:35+03,45.000000,pgbench_tellers,public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,24797,26097,3,4,2026-04-26 01:44:35+03,2026-04-26 01:44:36+03,1.000000,last_stat_indexes_srv1,public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,24797,1249,3,4,2026-04-26 01:44:35+03,2026-04-26 01:44:36+03,1.000000,pg_attribute,pg_catalog,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,24797,2608,3,4,2026-04-26 01:44:35+03,2026-04-26 01:44:36+03,1.000000,pg_depend,pg_catalog,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,24797,26363,3,4,2026-04-26 01:44:35+03,2026-04-26 01:44:36+03,1.000000,pgbench_accounts,public,32497.618,32140,0,0,0,6059,1,0,1999,1,231020,14,1989,0,27722,0,6,0,0,1,0,0,0
1,24797,26367,3,4,2026-04-26 01:44:35+03,2026-04-26 01:44:36+03,1.000000,pgbench_branches,public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,24797,26356,3,4,2026-04-26 01:44:35+03,2026-04-26 01:44:36+03,1.000000,pgbench_history,public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
