pattern,relname,windows,phase_seconds,total_time_ms,delay_time_ms,blks_read,blks_hit,blks_dirty,blks_written,wal_records,wal_fpi,wal_bytes,tuples_deleted,pages_scanned,pages_removed,recent_dead,tuples_frozen,vm_visible,vm_frozen,vm_visible_frozen,index_passes,failsafe,missed_pages,missed_tuples
boundaries,indexes_list,3,46.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
boundaries,last_stat_indexes_srv1,3,46.000000,16.51299999999999,12.46,8,506,42,8,202,0,20803,1091,152,0,0,0,152,0,127,1,0,0,0
boundaries,last_stat_io,3,46.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
boundaries,last_stat_statements_srv1,3,46.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
boundaries,last_stat_tables_srv1,3,46.000000,27.768,22.549999999999997,3,652,92,1,259,0,24305,920,203,0,0,0,203,0,180,1,0,0,0
boundaries,pg_attribute,3,46.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
boundaries,pg_class,3,46.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
boundaries,pg_depend,3,46.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
boundaries,pg_statistic,3,46.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
boundaries,pgbench_accounts,3,46.000000,8165.588,5711.819999999992,39231,237945,12762,10583,80517,0,5124965,42447,119055,0,26675,0,62379,0,26676,7,0,3,3
boundaries,pgbench_branches,3,46.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
boundaries,pgbench_history,3,46.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
boundaries,pgbench_tellers,3,46.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
boundaries,sample_stat_tables,3,46.000000,18.662,14.789999999999964,61,144,67,56,64,1,12288,0,63,0,0,0,63,0,0,0,0,0,0
boundaries,tables_list,3,46.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chunked,indexes_list,3,46.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chunked,last_stat_indexes_srv1,3,46.000000,15.436999999999998,12.560000000003129,2,490,40,1,203,41,28374,1109,152,0,0,0,152,0,126,1,0,0,0
